Date;Workout Name;Exercise Name;Set Order;Weight;Weight Unit;Reps;RPE;Distance;Distance Unit;Seconds;Notes;Workout Notes;Workout Duration
2018-07-14 12:54:03;"Trening 1";"Overhead Press (Barbell)";1;47,5;kg;3;;;;0;"";;1h 23m
2018-07-14 12:54:03;"Trening 1";"Overhead Press (Barbell)";2;42,5;kg;5;;;;0;;;1h 23m
2018-07-14 12:54:03;"Trening 1";"Overhead Press (Barbell)";3;37,5;kg;7;;;;0;;;1h 23m
2018-07-14 12:54:03;"Trening 1";"Overhead Press (Barbell)";4;32,5;kg;8;;;;0;;;1h 23m
2018-07-14 12:54:03;"Trening 1";"Squat (Barbell)";1;40;kg;5;;;;0;"";;1h 23m
2018-07-14 12:54:03;"Trening 1";"Squat (Barbell)";2;35;kg;6;;;;0;;;1h 23m
2018-07-14 12:54:03;"Trening 1";"Squat (Barbell)";3;32,5;kg;8;;;;0;;;1h 23m
2018-07-14 12:54:03;"Trening 1";"Squat (Barbell)";4;32,2;kg;8;;;;0;;;1h 23m
2018-07-14 12:54:03;"Trening 1";"Front Raise (Dumbbell)";1;7,5;kg;12;;;;0;"";;1h 23m
2018-07-14 12:54:03;"Trening 1";"Front Raise (Dumbbell)";2;7,5;kg;12;;;;0;;;1h 23m
2018-07-14 12:54:03;"Trening 1";"Triceps Dip";1;5;kg;12;;;;0;"";;1h 23m
2018-07-14 12:54:03;"Trening 1";"Triceps Dip";2;5;kg;12;;;;0;;;1h 23m
2018-07-14 12:54:03;"Trening 1";"Triceps Dip";3;5;kg;10;;;;0;;;1h 23m
2018-07-14 12:54:03;"Trening 1";"Plank";1;;;;;;km;60;"";;1h 23m
2018-07-14 12:54:03;"Trening 1";"Plank";2;;;;;;km;60;;;1h 23m
2018-07-14 12:54:03;"Trening 1";"Plank";3;;;;;;km;60;;;1h 23m
2018-07-14 12:54:03;"Trening 1";"Hanging Knee Raise";1;;;14;;;;0;"";;1h 23m
2018-07-14 12:54:03;"Trening 1";"Hanging Knee Raise";2;;;14;;;;0;;;1h 23m
2018-07-14 12:54:03;"Trening 1";"Hanging Knee Raise";3;;;14;;;;0;;;1h 23m
2018-07-18 16:45:16;"Trening 2";"Deadlift (Barbell)";1;60;kg;5;;;;0;"";"";1h 22m
2018-07-18 16:45:16;"Trening 2";"Deadlift (Barbell)";2;55;kg;6;;;;0;;;1h 22m
